Cuisine,Review.link,Name,Coordinates_y,Coordinates_x,foodRating,serviceRating,atmosphereRating,priceRating
Thai,"https://www.google.com/maps/place/EAT+BKK+Thai+Bar+%26+Restaurant+(Annex)/@43.6655005,-79.4113911,17z/data=!4m8!3m7!1s0x882b356aa1dbe477:0x5cc00084a8e1757b!8m2!3d43.6655005!4d-79.4088215!9m1!1b1!16s%2Fg%2F11h6lrt3dq?entry=ttu",EAT BKK Thai Bar and Restaurant (Annex),43.6655,-79.4114,Positive,Positive,Positive,2
Thai,"https://www.google.com/maps/place/Si+Lom+Thai+Bistro+(%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%B5%E0%B8%A5%E0%B8%A1+%E0%B9%82%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%95%E0%B9%89)/@43.6650167,-79.3833986,17z/data=!4m8!3m7!1s0x882b34b331c4b9bf:0x8f04eee32294b1a3!8m2!3d43.6650167!4d-79.380829!9m1!1b1!16s%2Fg%2F11g7yy28z3?entry=ttu",Si Lom Thai Bistro ,43.665,-79.3834,Positive,Positive,Positive,0
Filipino,"https://www.google.com/maps/place/Tagpuan+(Kensington)/@43.6573602,-79.4050418,17z/data=!4m8!3m7!1s0x882b35e0011ac4a1:0x3d85657df5173123!8m2!3d43.6573602!4d-79.4050418!9m1!1b1!16s%2Fg%2F11vpy53bdn?entry=ttu",Tagpuan (Kensington),43.6574,-79.405,Positive,Positive,Positive,1
Filipino,"https://www.google.com/maps/place/Kanto+by+Tita+Flips/@43.6519202,-79.4047354,17z/data=!4m8!3m7!1s0x882b34e80b0c5d21:0x4bd16db0e92feaeb!8m2!3d43.6519202!4d-79.4047354!9m1!1b1!16s%2Fg%2F1tdx9b54?entry=ttu",Kanto by Tita Flips,43.6519,-79.4047,Positive,Positive,Negative,0
Filipino,"https://www.google.com/maps/place/Eats+Manila/@43.6538431,-79.3909859,17z/data=!3m1!5s0x882b34ceb1405ea9:0x79ced3f997356ff2!4m8!3m7!1s0x882b352baafc1ec5:0x80c78e3049e7004c!8m2!3d43.6538431!4d-79.3909859!9m1!1b1!16s%2Fg%2F11l5jvm1gq?entry=ttu",Eats Manila,43.6538,-79.391,Positive,Positive,Positive,0
Filipino,"https://www.google.com/maps/place/Jollibee/@43.6574517,-79.3841761,17z/data=!4m8!3m7!1s0x882b3574ffeaf869:0xcd9e24a305166f65!8m2!3d43.6574517!4d-79.3815958!9m1!1b1!16s%2Fg%2F11lgs7sslz?entry=ttu",Jollibee,43.6575,-79.3842,Positive,Positive,Neutral,0
Filipino,"https://www.google.com/maps/place/Tinuno/@43.668855,-79.3825785,15.08z/data=!4m8!3m7!1s0x89d4cbc79d19583b:0x1272e20227c3b848!8m2!3d43.6711355!4d-79.3748685!9m1!1b1!16s%2Fg%2F11kc8g22bv?entry=ttu",Tinuno,43.6689,-79.3826,Positive,Negative,Neutral,1
Filipino,"https://www.google.com/maps/place/tala/@43.671131,-79.377447,17z/data=!4m8!3m7!1s0x882b353b3a039edd:0xbb1d723104ef9a0c!8m2!3d43.671131!4d-79.3748667!9m1!1b1!16s%2Fg%2F11j5mfb2xp?entry=ttu",tala,43.6711,-79.3774,Positive,Positive,Neutral,0
Filipino,"https://www.google.com/maps/place/Manila+Sentro+Filipino+Cuisine+Takeout+%26+Catering/@43.6711419,-79.3775247,17z/data=!4m8!3m7!1s0x89d4cb8822a04091:0xc0c6c90a1cc37f49!8m2!3d43.6711419!4d-79.3749444!9m1!1b1!16s%2Fg%2F11jgtd61zf?entry=ttu",Manila Sentro Filipino Cuisine Takeout %26 Catering,43.6711,-79.3775,Positive,Positive,Neutral,1
Filipino,"https://www.google.com/maps/place/Mother+Tongue/@43.6473654,-79.3958786,17z/data=!4m8!3m7!1s0x882b3506c53a17ef:0x4ac1249b5a711f25!8m2!3d43.6473654!4d-79.3932983!9m1!1b1!16s%2Fg%2F11g4jnv175?entry=ttu",Mother Tongue,43.6474,-79.3959,Positive,Positive,Positive,3
